0,208
1,188
2,12
3,221
4,239
5,136
6,230
7,206
8,52
9,108
10,290
11,15
12,184
13,248
14,22
15,74
16,270
17,90
18,229
19,164
20,190
21,103
22,124
23,129
24,222
25,116
26,194
27,286
28,234
29,295
30,92
31,66
32,8
33,122
34,219
35,150
36,176
37,182
38,299
39,5
40,223
41,89
42,81
43,34
44,55
45,139
46,236
47,64
48,7
49,45
50,73
51,213
52,173
53,106
54,59
55,253
56,168
57,26
58,284
59,153
60,134
61,145
62,63
63,293
64,285
65,224
66,252
67,111
68,20
69,46
70,156
71,228
72,273
73,27
74,144
75,259
76,37
77,97
78,191
79,135
80,118
81,160
82,264
83,214
84,238
85,76
86,212
87,225
88,255
89,237
90,282
91,44
92,272
93,189
94,152
95,158
96,101
97,54
98,181
99,18
100,281
101,250
102,126
103,171
104,71
105,227
106,245
107,205
108,288
109,215
110,154
111,159
112,33
113,83
114,249
115,60
116,167
117,280
118,110
119,21
120,29
121,146
122,16
123,56
124,75
125,109
126,175
127,201
128,161
129,4
130,96
131,166
132,61
133,67
134,137
135,198
136,262
137,279
138,40
139,268
140,13
141,107
142,220
143,3
144,157
145,125
146,24
147,30
148,77
149,291
150,210
151,19
152,254
153,241
154,266
155,80
156,51
157,2
158,235
159,104
160,179
161,86
162,10
163,199
164,58
165,41
166,14
167,155
168,50
169,292
170,233
171,123
172,200
173,62
174,187
175,226
176,130
177,209
178,260
179,43
180,114
181,138
182,294
183,218
184,149
185,112
186,247
187,98
188,217
189,93
190,216
191,162
192,36
193,178
194,113
195,0
196,94
197,275
198,95
199,296
200,261
201,240
202,69
203,49
204,48
205,85
206,297
207,141
208,207
209,23
210,246
211,148
212,143
213,78
214,180
215,100
216,204
217,131
218,267
219,298
220,196
221,6
222,68
223,203
224,84
225,170
226,121
227,140
228,256
229,274
230,142
231,257
232,91
233,82
234,283
235,11
236,119
237,102
238,35
239,57
240,169
241,231
242,65
243,1
244,120
245,269
246,186
247,42
248,105
249,132
250,79
251,17
252,263
253,232
254,38
255,133
256,53
257,258
258,128
259,28
260,183
261,163
262,151
263,244
264,202
265,31
266,32
267,127
268,185
269,278
270,271
271,147
272,276
273,177
274,99
275,197
276,243
277,115
278,265
279,72
280,25
281,165
282,287
283,174
284,289
285,39
286,193
287,88
288,70
289,87
290,242
291,277
292,211
293,9
294,195
295,251
296,192
297,117
298,47
299,172
